Region,Resource Name,EndCap,NewCap,Policy,folder,case,iteration,weeks
CA_N,NGCCS,9476.261999999999,9476.261999999999,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,ZCF,4313.641,0.067,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,battery,11878.773000000001,11878.773000000001,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,hydrogen_storage,0.004,0.004,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,offshore_wind,0.006,0.006,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,onshore_wind,1327.6159999999998,0.016,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,solar,33182.69900000001,30395.599000000006,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,NGCCS,10164.495,10164.495,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,ZCF,6202.366000000001,0.07100000000000001,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,battery,18396.843999999997,18396.843999999997,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,hydrogen_storage,0.004,0.004,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,onshore_wind,8467.142999999996,3731.5430000000006,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,other_renewables,804.667,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,pumped_hydro,1665.0,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,solar,44130.894,34610.894,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,ZCF,3326.105,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,battery,3692.301,3692.301,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,flexible_load,3946.495,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,hydro,4647.835,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,hydrogen_storage,0.009000000000000001,0.009000000000000001,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,nuclear,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,onshore_wind,28709.158999999992,24815.258999999995,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,other_renewables,400.29400000000004,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_N,solar,20543.517,19357.817000000003,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,NGCCS,1888.089,1888.089,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,ZCF,4957.397,0.122,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,battery,4591.903,4591.903,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,flexible_load,7852.401999999999,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,hydro,3960.0,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,hydrogen_storage,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,nuclear,4003.0110000000004,0.012,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,onshore_wind,39223.99799999999,37988.898,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,other_renewables,18.294,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,pumped_hydro,216.3,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_NMAZ,solar,14672.983999999999,8406.583999999999,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,ZCF,2325.998,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,battery,7783.406999999999,7783.406999999999,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,flexible_load,8967.414,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,hydro,29848.5,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,hydrogen_storage,0.006,0.006,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,nuclear,0.02,0.02,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,offshore_wind,0.003,0.003,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,onshore_wind,12965.506,7711.506,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,other_renewables,91.85699999999999,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,pumped_hydro,313.998,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_PNW,solar,30982.808999999997,30772.909,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,NGCCS,6900.648,6900.648,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,ZCF,3844.05,1949.046,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,battery,1690.527,1690.527,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,flexible_load,5226.18,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,hydro,961.87,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,hydrogen_storage,0.01,0.01,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,nuclear,0.012,0.012,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,onshore_wind,36134.143,30382.443,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,other_renewables,9.676,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,pumped_hydro,562.5,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
WECC_WYCO,solar,3395.5429999999997,2802.4429999999998,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,NGCCS,11123.298999999999,11123.298999999999,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,ZCF,1685.5739999999998,0.062,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,battery,11412.392,11412.392,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,hydrogen_storage,0.008,0.008,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,onshore_wind,1327.6089999999997,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,solar,35092.652,32305.552000000003,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,NGCCS,23699.189,23699.189,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,ZCF,6201.388000000001,0.071,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,battery,450.255,450.255,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,hydrogen_storage,0.009000000000000001,0.009000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,onshore_wind,4735.617000000003,0.017000000000000005,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,other_renewables,804.667,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,pumped_hydro,1665.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_S,solar,17303.677,7783.677,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,ZCF,3326.105,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,battery,9.662,9.662,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,flexible_load,3946.495,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,hydro,4647.835,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,hydrogen_storage,0.154,0.154,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,nuclear,0.013000000000000001,0.013000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,onshore_wind,44750.231999999996,40856.331999999995,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,other_renewables,400.29400000000004,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_N,solar,7925.577000000001,6739.877000000001,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,NGCCS,0.027999999999999997,0.027999999999999997,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,ZCF,0.931,0.07300000000000001,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,battery,29106.148999999998,29106.148999999998,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,flexible_load,7852.401999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,hydro,3960.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,hydrogen_storage,0.05,0.05,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,nuclear,4003.0060000000003,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,onshore_wind,4310.088,3074.988,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,other_renewables,18.294,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,pumped_hydro,216.3,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_NMAZ,solar,62352.059,56085.65900000001,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,ZCF,2325.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,battery,7268.682,7268.682,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,flexible_load,8967.414,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,hydro,29848.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,hydrogen_storage,0.013999999999999999,0.013999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,nuclear,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,onshore_wind,5254.048,0.048,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,other_renewables,91.85699999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,pumped_hydro,313.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_PNW,solar,28530.189000000002,28320.289,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,NGCCS,9485.268,9485.268,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,ZCF,4699.523999999999,2804.52,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,battery,0.963,0.963,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,flexible_load,5226.18,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,hydro,961.87,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,hydrogen_storage,0.055,0.055,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,nuclear,0.006,0.006,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,onshore_wind,27436.057,21684.357,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,other_renewables,9.676,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,pumped_hydro,562.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
WECC_WYCO,solar,593.181,0.081,p2_2045_high_mid_REF_high,MGA_0.05_28,max,MGA_1,january_test
CA_N,NGCCS,22769.139,22769.139,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,ZCF,3652.282,0.042,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,battery,0.10800000000000001,0.10800000000000001,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,hydrogen_storage,0.003,0.003,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,onshore_wind,1327.6039999999998,0.004,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,solar,5085.94,2298.84,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,NGCCS,1452.401,1452.401,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,ZCF,5482.101,0.04,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,battery,38905.295,38905.295,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,hydrogen_storage,0.01,0.01,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,onshore_wind,4735.616000000003,0.016000000000000004,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,other_renewables,804.667,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,pumped_hydro,1665.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_S,solar,89687.756,80167.756,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,ZCF,3326.105,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,battery,6287.880999999999,6287.880999999999,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,flexible_load,3946.495,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,hydro,4647.835,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,hydrogen_storage,0.01,0.01,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,nuclear,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,onshore_wind,17958.956000000002,14065.055999999999,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,other_renewables,400.29400000000004,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_N,solar,22728.175,21542.475,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,NGCCS,0.136,0.136,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,ZCF,4891.696000000001,1175.046,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,battery,3434.938,3434.938,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,flexible_load,7852.401999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,hydro,3960.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,hydrogen_storage,0.032,0.032,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,nuclear,4003.0110000000004,0.012,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,onshore_wind,38243.71099999999,37008.611,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,other_renewables,18.294,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,pumped_hydro,216.3,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_NMAZ,solar,14128.768999999998,7862.3690000000015,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,ZCF,2325.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,battery,0.228,0.228,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,flexible_load,8967.414,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,hydro,29848.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,hydrogen_storage,0.006,0.006,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,nuclear,0.02,0.02,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,onshore_wind,16932.324999999997,11678.324999999999,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,other_renewables,91.85699999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,pumped_hydro,313.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_PNW,solar,11814.596999999998,11604.696999999998,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,NGCCS,0.115,0.115,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,ZCF,5101.027,3206.0230000000006,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,battery,12750.345,12750.345,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,flexible_load,5226.18,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,hydro,961.87,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,hydrogen_storage,0.026000000000000002,0.026000000000000002,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,nuclear,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,onshore_wind,33019.582,27267.881999999998,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,other_renewables,9.676,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,pumped_hydro,562.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
WECC_WYCO,solar,33834.881,33241.781,p2_2045_high_mid_REF_high,MGA_0.05_22,max,MGA_2,january_test
CA_N,NGCCS,0.081,0.081,p2_2045_high_mid_REF_high,MGA_0.05_12,max,MGA_3,january_test
