"iter","Type","Policy","Region","condition"
"45","Clean Firm","p2_2045_high_mid_REF_high","CA_N","Max Cap"
"25","Clean Firm","p2_2045_high_mid_REF_high","CA_S","Max Cap"
"22","Clean Firm","p2_2045_high_mid_REF_high","WECC_N","Max Cap"
"8","Clean Firm","p2_2045_high_mid_REF_high","WECC_NMAZ","Max Cap"
"44","Clean Firm","p2_2045_high_mid_REF_high","WECC_PNW","Max Cap"
"31","Clean Firm","p2_2045_high_mid_REF_high","WECC_WYCO","Max Cap"
"13","Clean Firm","p7_2045_high_low_REF_high","CA_N","Max Cap"
"25","Clean Firm","p7_2045_high_low_REF_high","CA_S","Max Cap"
"14","Clean Firm","p7_2045_high_low_REF_high","WECC_N","Max Cap"
"30","Clean Firm","p7_2045_high_low_REF_high","WECC_NMAZ","Max Cap"
"51","Clean Firm","p7_2045_high_low_REF_high","WECC_PNW","Max Cap"
"44","Clean Firm","p7_2045_high_low_REF_high","WECC_WYCO","Max Cap"
"11","LDS","p2_2045_high_mid_REF_high","CA_N","Max Cap"
"12","LDS","p2_2045_high_mid_REF_high","CA_S","Max Cap"
"10","LDS","p2_2045_high_mid_REF_high","WECC_N","Max Cap"
"24","LDS","p2_2045_high_mid_REF_high","WECC_NMAZ","Max Cap"
"7","LDS","p2_2045_high_mid_REF_high","WECC_PNW","Max Cap"
"2","LDS","p2_2045_high_mid_REF_high","WECC_WYCO","Max Cap"
"11","LDS","p7_2045_high_low_REF_high","CA_N","Max Cap"
"28","LDS","p7_2045_high_low_REF_high","CA_S","Max Cap"
"15","LDS","p7_2045_high_low_REF_high","WECC_N","Max Cap"
"11","LDS","p7_2045_high_low_REF_high","WECC_NMAZ","Max Cap"
"7","LDS","p7_2045_high_low_REF_high","WECC_PNW","Max Cap"
"2","LDS","p7_2045_high_low_REF_high","WECC_WYCO","Max Cap"
"Base","offshore","p2_2045_high_mid_REF_high","CA_N","Max Cap"
"Base","offshore","p2_2045_high_mid_REF_high","WECC_PNW","Max Cap"
"Base","offshore","p7_2045_high_low_REF_high","CA_N","Max Cap"
"15","offshore","p7_2045_high_low_REF_high","WECC_PNW","Max Cap"
"21","onshore","p2_2045_high_mid_REF_high","CA_N","Max Cap"
"21","onshore","p2_2045_high_mid_REF_high","CA_S","Max Cap"
"23","onshore","p2_2045_high_mid_REF_high","WECC_N","Max Cap"
"46","onshore","p2_2045_high_mid_REF_high","WECC_NMAZ","Max Cap"
"40","onshore","p2_2045_high_mid_REF_high","WECC_PNW","Max Cap"
"34","onshore","p2_2045_high_mid_REF_high","WECC_WYCO","Max Cap"
"43","onshore","p7_2045_high_low_REF_high","CA_N","Max Cap"
"56","onshore","p7_2045_high_low_REF_high","CA_S","Max Cap"
"23","onshore","p7_2045_high_low_REF_high","WECC_N","Max Cap"
"47","onshore","p7_2045_high_low_REF_high","WECC_NMAZ","Max Cap"
"14","onshore","p7_2045_high_low_REF_high","WECC_PNW","Max Cap"
"34","onshore","p7_2045_high_low_REF_high","WECC_WYCO","Max Cap"
"32","solar","p2_2045_high_mid_REF_high","CA_N","Max Cap"
"12","solar","p2_2045_high_mid_REF_high","CA_S","Max Cap"
"5","solar","p2_2045_high_mid_REF_high","WECC_N","Max Cap"
"19","solar","p2_2045_high_mid_REF_high","WECC_NMAZ","Max Cap"
"7","solar","p2_2045_high_mid_REF_high","WECC_PNW","Max Cap"
"27","solar","p2_2045_high_mid_REF_high","WECC_WYCO","Max Cap"
"50","solar","p7_2045_high_low_REF_high","CA_N","Max Cap"
"12","solar","p7_2045_high_low_REF_high","CA_S","Max Cap"
"5","solar","p7_2045_high_low_REF_high","WECC_N","Max Cap"
"8","solar","p7_2045_high_low_REF_high","WECC_NMAZ","Max Cap"
"7","solar","p7_2045_high_low_REF_high","WECC_PNW","Max Cap"
"27","solar","p7_2045_high_low_REF_high","WECC_WYCO","Max Cap"
"47","Storage","p2_2045_high_mid_REF_high","CA_N","Max Cap"
"34","Storage","p2_2045_high_mid_REF_high","CA_S","Max Cap"
"5","Storage","p2_2045_high_mid_REF_high","WECC_N","Max Cap"
"19","Storage","p2_2045_high_mid_REF_high","WECC_NMAZ","Max Cap"
"7","Storage","p2_2045_high_mid_REF_high","WECC_PNW","Max Cap"
"27","Storage","p2_2045_high_mid_REF_high","WECC_WYCO","Max Cap"
"50","Storage","p7_2045_high_low_REF_high","CA_N","Max Cap"
"12","Storage","p7_2045_high_low_REF_high","CA_S","Max Cap"
"5","Storage","p7_2045_high_low_REF_high","WECC_N","Max Cap"
"19","Storage","p7_2045_high_low_REF_high","WECC_NMAZ","Max Cap"
"7","Storage","p7_2045_high_low_REF_high","WECC_PNW","Max Cap"
"27","Storage","p7_2045_high_low_REF_high","WECC_WYCO","Max Cap"
"21","ZCF","p2_2045_high_mid_REF_high","CA_N","Max Cap"
"44","ZCF","p2_2045_high_mid_REF_high","CA_S","Max Cap"
"1","ZCF","p2_2045_high_mid_REF_high","WECC_N","Max Cap"
"22","ZCF","p2_2045_high_mid_REF_high","WECC_NMAZ","Max Cap"
"1","ZCF","p2_2045_high_mid_REF_high","WECC_PNW","Max Cap"
"16","ZCF","p2_2045_high_mid_REF_high","WECC_WYCO","Max Cap"
"43","ZCF","p7_2045_high_low_REF_high","CA_N","Max Cap"
"42","ZCF","p7_2045_high_low_REF_high","CA_S","Max Cap"
"1","ZCF","p7_2045_high_low_REF_high","WECC_N","Max Cap"
"22","ZCF","p7_2045_high_low_REF_high","WECC_NMAZ","Max Cap"
"1","ZCF","p7_2045_high_low_REF_high","WECC_PNW","Max Cap"
"14","ZCF","p7_2045_high_low_REF_high","WECC_WYCO","Max Cap"
"47","Clean Firm","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"45","Clean Firm","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"40","Clean Firm","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"40","Clean Firm","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"40","Clean Firm","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"42","Clean Firm","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"33","Clean Firm","p7_2045_high_low_REF_high","CA_N","Min Cap"
"52","Clean Firm","p7_2045_high_low_REF_high","CA_S","Min Cap"
"30","Clean Firm","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"19","Clean Firm","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"33","Clean Firm","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"33","Clean Firm","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
"40","LDS","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"30","LDS","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"31","LDS","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"31","LDS","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"31","LDS","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"31","LDS","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"33","LDS","p7_2045_high_low_REF_high","CA_N","Min Cap"
"33","LDS","p7_2045_high_low_REF_high","CA_S","Min Cap"
"33","LDS","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"30","LDS","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"30","LDS","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"33","LDS","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
"1","offshore","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"1","offshore","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"1","offshore","p7_2045_high_low_REF_high","CA_N","Min Cap"
"1","offshore","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"16","onshore","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"35","onshore","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"11","onshore","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"19","onshore","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"44","onshore","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"23","onshore","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"34","onshore","p7_2045_high_low_REF_high","CA_N","Min Cap"
"35","onshore","p7_2045_high_low_REF_high","CA_S","Min Cap"
"11","onshore","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"19","onshore","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"54","onshore","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"23","onshore","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
"45","solar","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"33","solar","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"42","solar","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"47","solar","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"37","solar","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"40","solar","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"52","solar","p7_2045_high_low_REF_high","CA_N","Min Cap"
"25","solar","p7_2045_high_low_REF_high","CA_S","Min Cap"
"48","solar","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"54","solar","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"38","solar","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"54","solar","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
"45","Storage","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"33","Storage","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"42","Storage","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"34","Storage","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"32","Storage","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"6","Storage","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"52","Storage","p7_2045_high_low_REF_high","CA_N","Min Cap"
"25","Storage","p7_2045_high_low_REF_high","CA_S","Min Cap"
"27","Storage","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"34","Storage","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"38","Storage","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"42","Storage","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
"16","ZCF","p2_2045_high_mid_REF_high","CA_N","Min Cap"
"15","ZCF","p2_2045_high_mid_REF_high","CA_S","Min Cap"
"5","ZCF","p2_2045_high_mid_REF_high","WECC_N","Min Cap"
"40","ZCF","p2_2045_high_mid_REF_high","WECC_NMAZ","Min Cap"
"1","ZCF","p2_2045_high_mid_REF_high","WECC_PNW","Min Cap"
"31","ZCF","p2_2045_high_mid_REF_high","WECC_WYCO","Min Cap"
"2","ZCF","p7_2045_high_low_REF_high","CA_N","Min Cap"
"25","ZCF","p7_2045_high_low_REF_high","CA_S","Min Cap"
"13","ZCF","p7_2045_high_low_REF_high","WECC_N","Min Cap"
"40","ZCF","p7_2045_high_low_REF_high","WECC_NMAZ","Min Cap"
"1","ZCF","p7_2045_high_low_REF_high","WECC_PNW","Min Cap"
"13","ZCF","p7_2045_high_low_REF_high","WECC_WYCO","Min Cap"
