All_Set,Interested_Set,list_years,Aggregate_region,zone_count,zone,region,Resource,Fuel,Color,Power_Fuel,Interested_Regions,Deep_Dive,Total,Total_title,Energy_price,Reserve_Margin_price,RPS_prices
currentpolicy,currentpolicy,2030,N.A,15,1,MIS_Central,hydroelectric_pumped_storage,Pumped hydro,#66CCCC,Solar,PJM_COMD,MIS_Central,PJM_NJCoast,NJ,Yes,Yes,Yes
statedpolicy,statedpolicy,2040,,,2,MIS_East,battery_mid,Battery,#A6CEE3,Offshore Wind,PJM_Delaware,MIS_East,PJM_NJLand,,,,
deepdecarbonization,deepdecarbonization,2050,,,3,NY_East,solar_photovoltaic,Solar,#fccb6e,Onshore Wind,PJM_Dom,NY_East,,,,,
,,,,,4,NY_West,utilitypv_losangeles_mid_70_4_0_2,Solar,#fccb6e,Hydro,PJM_NJCoast,NY_West,,,,,
,,,,,5,PJM_COMD,utilitypv_losangeles_mid_70_5_0_2,Solar,#fccb6e,Biomass,PJM_NJLand,PJM_COMD,,,,,
,,,,,6,PJM_Delaware,utilitypv_losangeles_mid_70_6_0_2,Solar,#fccb6e,Nuclear,PJM_PECO,PJM_Delaware,,,,,
,,,,,7,PJM_Dom,utilitypv_losangeles_mid_76_0_2,Solar,#fccb6e,Gas CCS,PJM_SMAC,PJM_Dom,,,,,
,,,,,8,PJM_NJCoast,utilitypv_losangeles_mid_70_8_0_2,Solar,#fccb6e,Gas CC,PJM_WMAC,PJM_NJCoast,,,,,
,,,,,9,PJM_NJLand,utilitypv_losangeles_mid_70_12_0_2,Solar,#fccb6e,Gas CT,NY_East,PJM_NJLand,,,,,
,,,,,10,PJM_PECO,utilitypv_losangeles_mid_70_9_0_2,Solar,#fccb6e,Gas steam,NY_West,PJM_PECO,,,,,
,,,,,11,PJM_SMAC,utilitypv_losangeles_mid_70_13_0_2,Solar,#fccb6e,Coal,,PJM_SMAC,,,,,
,,,,,12,PJM_West,utilitypv_losangeles_mid_70_14_0_2,Solar,#fccb6e,,,PJM_West,,,,,
,,,,,13,PJM_WMAC,utilitypv_losangeles_mid_70_15_0_2,Solar,#fccb6e,,,PJM_WMAC,,,,,
,,,,,14,SC_TVA,utilitypv_losangeles_mid_70_43_0_2,Solar,#fccb6e,,,SC_TVA,,,,,
,,,,,15,SC_VACA,utilitypv_losangeles_mid_70_16_0_2,Solar,#fccb6e,,,SC_VACA,,,,,
,,,,,,,utilitypv_losangeles_mid_70_17_0_2,Solar,#fccb6e,,,,,,,,
,,,,,,,utilitypv_losangeles_mid_70_19_0_2,Solar,#fccb6e,,,,,,,,
,,,,,,,utilitypv_losangeles_mid_70_66_0_2,Solar,#fccb6e,,,,,,,,
,,,,,,,offshorewind_otrg3_mid_fixed_1_176_75,Offshore Wind,#92CF72,,,,,,,,
,,,,,,,offshorewind_otrg3_mid_fixed_0_176_75,Offshore Wind,#92CF72,,,,,,,,
,,,,,,,offshorewind_otrg3_mid_fixed_1_176_78,Offshore Wind,#92CF72,,,,,,,,
,,,,,,,offshorewind_otrg3_mid_fixed_0_176_78,Offshore Wind,#92CF72,,,,,,,,
,,,,,,,offshorewind_otrg3_mid_fixed_1_176_77,Offshore Wind,#92CF72,,,,,,,,
,,,,,,,offshorewind_otrg3_mid_fixed_0_176_77,Offshore Wind,#92CF72,,,,,,,,
,,,,,,,landbasedwind_ltrg1_mid_70_1,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,landbasedwind_ltrg1_mid_70_2,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,landbasedwind_ltrg1_mid_70_3,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,landbasedwind_ltrg1_mid_70_4,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,landbasedwind_ltrg1_mid_70_5,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,landbasedwind_ltrg1_mid_70_6,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,landbasedwind_ltrg1_mid_110,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,landbasedwind_ltrg1_mid_100,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,onshore_wind_turbine,Onshore Wind,#33A02C,,,,,,,,
,,,,,,,HQ_imports_Champlain_Hudson,Hydro,#408DBF,,,,,,,,
,,,,,,,conventional_hydroelectric,Hydro,#408DBF,,,,,,,,
,,,,,,,small_hydroelectric,Hydro,#408DBF,,,,,,,,
,,,,,,,biomass,Biomass,#FFDAB9,,,,,,,,
,,,,,,,nuclear,Nuclear,#E94330,,,,,,,,
,,,,,,,nuclear_mid,Nuclear,#E94330,,,,,,,,
,,,,,,,naturalgas_ccccsavgcf_mid,Gas CCS,#DDA0DD,,,,,,,,
,,,,,,,naturalgas_ccs100_mid,Gas CCS,#DDA0DD,,,,,,,,
,,,,,,,natural_gas_fired_combustion_turbine,Gas CT,#6A3D9A,,,,,,,,
,,,,,,,naturalgas_ctavgcf_mid,Gas CT,#6A3D9A,,,,,,,,
,,,,,,,natural_gas_fired_combined_cycle,Gas CC,#B294C7,,,,,,,,
,,,,,,,naturalgas_ccavgcf_mid,Gas CC,#B294C7,,,,,,,,
,,,,,,,natural_gas_steam_turbine,Gas steam,#2F4F4F,,,,,,,,
,,,,,,,conventional_steam_coal,Coal,#696969,,,,,,,,